Game ID,Summary,Precip Intensity,Precip Probability,Precip Type,Temp,Apparent Temp,Humidity,Wind Speed,Wind Gust,Cloud Cover,UV Index,Visibility
46159,Mostly Cloudy,0,0,No Data,63.44,63.44,0.6,10.07,11.22,0.77,3,9.81
46160,Overcast,0,0,No Data,51.67,51.67,0.77,6.13,9.39,1,2,4
46161,Overcast,0,0,No Data,38.51,32.64,0.79,8.24,8.33,1,1,10
46162,Clear,0,0,No Data,44.72,40.52,0.65,7.61,10.69,0.13,2,10
46163,Light Rain,0.0312,0.36,rain,42.8,37.92,0.89,8.15,11.34,1,1,4.2
46164,Mostly Cloudy,0.0005,0.04,rain,60.12,60.12,0.71,6.75,17.24,0.79,2,9.99
46165,Overcast,0,0,No Data,41.32,39.34,0.88,3.49,3.74,1,0,9.86
46166,Clear,0,0,No Data,62.42,62.42,0.57,3.21,6.44,0.05,0,10
46167,Clear,0,0,No Data,45.7,45.7,0.55,1.77,2.17,0,0,10
46177,Clear,0,0,No Data,49.98,47.26,0.51,6.8,6.98,0,0,10
46178,Partly Cloudy,0,0,No Data,61.58,61.58,0.71,3.42,5.51,0.27,0,7.51
46168,Clear,0,0,No Data,52.71,52.71,0.49,3.98,5.72,0,3,10
46169,Clear,0,0,No Data,38.58,33.04,0.41,7.67,9.45,0,1,10
46170,Overcast,0,0,No Data,38.61,36.07,0.83,3.64,4.7,1,1,2.48
46171,Clear,0,0,No Data,42.53,38.63,0.48,6.24,6.69,0.12,1,10
46172,Clear,0,0,No Data,44.3,41.62,0.51,4.87,7.26,0,2,10
46173,Clear,0,0,No Data,72.94,72.94,0.53,3.92,4.85,0.14,5,10
46174,Overcast,0,0,No Data,36.52,29.34,0.75,9.99,10.2,1,1,7.07
46175,Overcast,0,0,No Data,34.18,27.47,0.78,8.05,8.54,1,1,9.25
46176,Clear,0,0,No Data,50.52,50.52,0.47,9.19,10.03,0,3,10
46179,Partly Cloudy,0,0,No Data,60.52,60.52,0.47,1.7,6.77,0.59,2,10
46180,Partly Cloudy,0,0,No Data,70.9,70.9,0.22,1.9,4.81,0.28,2,10
46181,Partly Cloudy,0.0006,0.02,rain,70.81,70.9,0.7,2.11,5.88,0.47,1,10
46182,Drizzle,0.0074,0.48,rain,45.19,42.72,0.88,4.78,5.35,1,0,4.27
46183,Light Rain,0.0537,0.76,rain,55.22,55.22,0.82,7.28,16.69,0.88,0,9.78
46184,Partly Cloudy,0,0,No Data,79.01,81.73,0.74,3.27,4.21,0.5,4,10
46185,Foggy,0,0,No Data,62.07,62.68,1,2.03,2.82,1,3,1.35
46189,Mostly Cloudy,0.0003,0.01,rain,37.08,37.08,0.69,1.62,2.5,0.89,1,10
46190,Overcast,0,0,No Data,26.59,16.43,0.65,11.09,17,0.97,1,10
46192,Light Rain,0.0378,0.69,rain,46.23,42.54,0.94,7.2,7.5,1,3,4.74
46193,Overcast,0,0,No Data,32.64,27,0.78,6,8.75,1,1,9.76
46194,Clear,0,0,No Data,33.23,33.23,0.42,2.12,3.5,0.07,1,10
46186,Overcast,0,0,No Data,30.62,23.87,0.71,6.94,8.54,0.94,0,10
46187,Clear,0,0,No Data,40.39,36.15,0.57,6.12,6.12,0,0,10
46188,Partly Cloudy,0,0,No Data,44.28,42.94,0.62,3.26,6.04,0.35,0,10
46195,Clear,0,0,No Data,41.18,34.77,0.54,10.83,10.83,0,0,10
46196,Clear,0,0,No Data,45.43,44.41,0.6,3.09,4.06,0.16,0,8.96
46197,Mostly Cloudy,0,0,No Data,46.23,46.23,0.75,2.51,3.52,0.87,0,4.92
46198,Partly Cloudy,0,0,No Data,51.02,51.02,0.21,5.88,17.71,0.58,1,3.41
46199,Clear,0,0,No Data,63.21,63.21,0.31,3.23,7.4,0.07,2,10
46191,Mostly Cloudy,0,0,No Data,51.94,51.94,0.71,0.94,0.94,0.64,0,10
